time_s,T_actual,T_measured,u_bin,u_frac
126.000000,18.563411,18.512416,0,0.109316
127.000000,18.563405,18.552758,0,0.108141
128.000000,18.563398,18.583544,0,0.107251
129.000000,18.563392,18.495120,0,0.109939
130.000000,18.563386,18.656052,0,0.105144
131.000000,18.563380,18.547734,0,0.108429
132.000000,18.563374,18.606909,0,0.106687
133.000000,18.563367,18.570153,0,0.107824
134.000000,18.563361,18.662066,0,0.105100
135.000000,18.563355,18.587148,0,0.107382
136.000000,18.563349,18.575779,0,0.107757
137.000000,18.563342,18.653137,0,0.105470
138.000000,18.563336,18.559380,0,0.108317
139.000000,18.563330,18.545081,0,0.108780
140.000000,18.563324,18.556437,0,0.108474
141.000000,18.563317,18.605531,0,0.107035
142.000000,18.563311,18.510786,0,0.109913
143.000000,18.563305,18.581995,0,0.107811
144.000000,18.563299,18.441765,0,0.112053
145.000000,18.563293,18.614542,0,0.106904
146.000000,18.563286,18.581576,0,0.107927
147.000000,18.563280,18.578588,0,0.108051
148.000000,18.563274,18.618204,0,0.106896
149.000000,18.563268,18.564101,0,0.108553
150.000000,18.596429,18.523052,1,0.109820
151.000000,18.629590,18.590117,1,0.107842
152.000000,18.662750,18.655624,1,0.105910
153.000000,18.662743,18.666065,0,0.105630
154.000000,18.662736,18.688817,0,0.104981
155.000000,18.662728,18.686908,0,0.105071
156.000000,18.662721,18.648094,0,0.106269
157.000000,18.662714,18.690288,0,0.105036
158.000000,18.662706,18.649790,0,0.106285
159.000000,18.662699,18.627935,0,0.106974
160.000000,18.662692,18.647109,0,0.106432
161.000000,18.662684,18.637709,0,0.106748
162.000000,18.662677,18.652964,0,0.106324
163.000000,18.662670,18.697322,0,0.105026
164.000000,18.662662,18.616624,0,0.107481
165.000000,18.662655,18.630883,0,0.107087
166.000000,18.662648,18.682482,0,0.105572
167.000000,18.662640,18.682430,0,0.105607
168.000000,18.662633,18.687222,0,0.105496
169.000000,18.662626,18.595582,0,0.108279
170.000000,18.662619,18.614438,0,0.107748
171.000000,18.662611,18.610942,0,0.107886
172.000000,18.662604,18.622134,0,0.107584
173.000000,18.662597,18.701426,0,0.105239
174.000000,18.662589,18.612280,0,0.107947
175.000000,18.662582,18.648917,0,0.106881
176.000000,18.662575,18.633042,0,0.107391
177.000000,18.662567,18.615670,0,0.107946
178.000000,18.662560,18.730640,0,0.104530
179.000000,18.662553,18.584486,0,0.108948
180.000000,18.695713,18.689075,1,0.105844
181.000000,18.728873,18.686045,1,0.105968
